Unnamed: 0,name,full_name,description,forks_count,stargazers_count,watchers_count,open_issues_count
2992,ocaml,src-openeuler/ocaml,,6,0,130,0
4188,perl-Params-Util,src-openeuler/perl-Params-Util,,2,0,130,0
1933,libdwarf,src-openeuler/libdwarf,,6,0,130,0
4134,perl-NetAddr-IP,src-openeuler/perl-NetAddr-IP,,3,0,130,0
2419,meanwhile,src-openeuler/meanwhile,,2,0,130,0
7611,xorg-x11-utils,src-openeuler/xorg-x11-utils,,5,0,130,0
4109,perl-Net-HTTP,src-openeuler/perl-Net-HTTP,,5,0,130,1
3677,perl-File-Slurp,src-openeuler/perl-File-Slurp,,2,0,130,0
4101,perl-Net-DNS,src-openeuler/perl-Net-DNS,,3,0,130,0
7614,xorg-x11-xinit,src-openeuler/xorg-x11-xinit,,6,0,130,0
4096,perl-NTLM,src-openeuler/perl-NTLM,,2,0,130,0
1624,jimtcl,src-openeuler/jimtcl,,3,0,130,0
4013,perl-Module-Runtime,src-openeuler/perl-Module-Runtime,,2,0,130,0
1938,libell,src-openeuler/libell,,3,0,130,0
48,SDL,src-openeuler/SDL,,4,0,130,0
677,enchant2,src-openeuler/enchant2,,6,0,130,0
1950,libfabric,src-openeuler/libfabric,,1,0,130,0
727,fakeroot,src-openeuler/fakeroot,,6,0,130,0
726,fakechroot,src-openeuler/fakechroot,,4,0,130,1
721,extra-cmake-modules,src-openeuler/extra-cmake-modules,KDE Frameworks 5 cmake extra modules.,7,0,130,0
3494,perl-Data-Section,src-openeuler/perl-Data-Section,,1,0,130,0
2526,mvapich2,src-openeuler/mvapich2,,7,0,130,0
2503,mpich,src-openeuler/mpich,,3,0,130,0
4750,perl-gettext,src-openeuler/perl-gettext,,2,0,130,0
6964,samyak-fonts,src-openeuler/samyak-fonts,,3,0,130,1
1711,kf5,src-openeuler/kf5,Filesystem and RPM macros for KDE Frameworks 5,5,0,130,1
1392,imake,src-openeuler/imake,,2,0,130,0
3273,perl-Bit-Vector,src-openeuler/perl-Bit-Vector,,2,0,130,0
3485,perl-Data-Dump,src-openeuler/perl-Data-Dump,,2,0,130,0
2170,libuv,src-openeuler/libuv,,8,0,130,0
604,dotconf,src-openeuler/dotconf,,2,0,130,0
3443,perl-Crypt-OpenSSL-Random,src-openeuler/perl-Crypt-OpenSSL-Random,,1,0,130,0
